model,roc_auc,pr_auc,best_f1,precision,sensitivity
XGBoost,0.6706480095138899,0.23240621756603413,0.28330099303732453,0.1909818405663281,0.5483870967741935
LogisticReg,0.6653695971661129,0.21949217167213791,0.27961603613777525,0.18780339805825244,0.5470614228899691
LightGBM,0.6356574775732513,0.18760478287979926,0.2045002711006687,0.11389601892395189,1.0
